number,state,opened_at,resolved_at,closed_at,u_research_assessment
INC1234567,In Progress,1/1/2023 0:00,1/1/2200 00:00:00,1/1/2200 00:00:00,Credential Issue
INC1234568,In Progress,1/2/2023 0:00,1/1/2200 00:00:00,1/1/2200 00:00:00,Data Issue
INC1234569,In Progress,1/3/2023 0:00,1/1/2200 00:00:00,1/1/2200 00:00:00,Login Issue
INC1234570,In Progress,1/4/2023 0:00,1/1/2200 00:00:00,1/1/2200 00:00:00,Product Issue
INC1234571,Resolved,1/5/2023 0:00,1/6/2023 0:00,1/1/2200 00:00:00,System Issue
INC1234572,Resolved,1/6/2023 0:00,1/7/2023 0:00,1/1/2200 00:00:00,Workspace Issue
INC1234573,Resolved,1/7/2023 0:00,1/8/2023 0:00,1/1/2200 00:00:00,ESHD Alert
INC1234574,On Hold,1/8/2023 0:00,1/1/2200 00:00:00,1/1/2200 00:00:00,Failure > Alert
INC1234575,On Hold,1/9/2023 0:00,1/1/2200 00:00:00,1/1/2200 00:00:00,Tableau Issue
INC1234576,On Hold,1/10/2023 0:00,1/1/2200 00:00:00,1/1/2200 00:00:00,Credential Issue
INC1234577,Resolved,1/1/2022 0:00,1/2/2022 0:00,1/1/2200 00:00:00,Data Issue
INC1234578,Resolved,1/2/2022 0:00,1/3/2022 0:00,1/1/2200 00:00:00,Login Issue
INC1234579,Resolved,1/3/2022 0:00,1/4/2022 0:00,1/1/2200 00:00:00,Product Issue
INC1234580,Resolved,1/4/2022 0:00,1/5/2022 0:00,1/1/2200 00:00:00,System Issue
INC1234581,Resolved,1/5/2022 0:00,1/6/2022 0:00,1/1/2200 00:00:00,Workspace Issue
INC1234582,Resolved,2/1/2022 0:00,2/1/2022 0:00,3/1/2022 0:00,Credential Issue
INC1234583,Resolved,2/2/2022 0:00,2/2/2022 0:00,3/2/2022 0:00,Data Issue
INC1234584,Resolved,2/3/2022 0:00,2/3/2022 0:00,3/3/2022 0:00,Login Issue
INC1234585,Resolved,3/1/2022 0:00,3/1/2022 0:00,4/3/2022 0:00,Product Issue
INC1234586,Resolved,3/2/2022 0:00,3/2/2022 0:00,4/4/2022 0:00,System Issue
INC1234587,Resolved,3/3/2022 0:00,3/3/2022 0:00,4/5/2022 0:00,Workspace Issue
INC1234588,Resolved,3/4/2022 0:00,4/1/2022 0:00,5/2/2022 0:00,Credential Issue
INC1234589,Resolved,4/1/2022 0:00,4/2/2022 0:00,5/3/2022 0:00,Data Issue
INC1234590,Resolved,4/2/2022 0:00,4/3/2022 0:00,5/4/2022 0:00,Login Issue
INC1234591,Resolved,5/1/2022 0:00,5/1/2022 0:00,6/2/2022 0:00,Product Issue
INC1234592,Resolved,5/2/2022 0:00,5/2/2022 0:00,6/3/2022 0:00,System Issue
INC1234593,Resolved,5/3/2022 0:00,5/3/2022 0:00,6/4/2022 0:00,Workspace Issue
INC1234594,Resolved,5/4/2022 0:00,6/2/2022 0:00,7/4/2022 0:00,Credential Issue
INC1234595,Resolved,6/2/2022 0:00,6/3/2022 0:00,7/5/2022 0:00,Data Issue
INC1234596,Closed,6/3/2022 0:00,7/3/2022 0:00,8/5/2022 0:00,Login Issue
INC1234597,Closed,6/4/2022 0:00,7/4/2022 0:00,8/6/2022 0:00,Product Issue
INC1234598,Closed,7/3/2022 0:00,7/5/2022 0:00,8/7/2022 0:00,System Issue
INC1234599,Closed,7/4/2022 0:00,7/6/2022 0:00,8/8/2022 0:00,
INC1234600,Closed,8/4/2022 0:00,8/5/2022 0:00,9/7/2022 0:00,Workspace Issue
INC1234601,Closed,8/5/2022 0:00,8/6/2022 0:00,9/8/2022 0:00,Login Issue
INC1234602,Closed,8/6/2022 0:00,8/7/2022 0:00,9/9/2022 0:00,ESHD Alert
INC1234603,Closed,8/7/2022 0:00,9/7/2022 0:00,10/10/2022 0:00,Failure > Alert
INC1234604,Closed,9/7/2022 0:00,9/8/2022 0:00,10/11/2022 0:00,Tableau Issue
INC1234605,Closed,9/8/2022 0:00,9/9/2022 0:00,10/12/2022 0:00,Product Issue
INC1234606,Closed,9/9/2022 0:00,9/10/2022 0:00,10/13/2022 0:00,System Issue
INC1234607,Closed,10/9/2022 0:00,10/10/2022 0:00,11/14/2022 0:00,Workspace Issue
INC1234608,Closed,10/10/2022 0:00,10/11/2022 0:00,11/15/2022 0:00,Credential Issue
INC1234609,Closed,10/11/2022 0:00,10/12/2022 0:00,11/16/2022 0:00,Data Issue
INC1234610,Closed,10/12/2022 0:00,10/13/2022 0:00,11/17/2022 0:00,Login Issue
INC1234611,Closed,11/12/2022 0:00,11/14/2022 0:00,12/17/2022 0:00,Credential Issue
INC1234612,Closed,11/13/2022 0:00,11/15/2022 0:00,12/18/2022 0:00,Data Issue
INC1234613,Closed,11/14/2022 0:00,11/16/2022 0:00,12/19/2022 0:00,Login Issue
INC1234614,Closed,11/15/2022 0:00,11/17/2022 0:00,12/20/2022 0:00,Product Issue
INC1234615,Closed,11/16/2022 0:00,11/18/2022 0:00,12/21/2022 0:00,Credential Issue
INC1234616,Closed,11/17/2022 0:00,12/17/2022 0:00,1/1/2023 0:00,Data Issue
INC1234617,Closed,11/18/2022 0:00,12/18/2022 0:00,1/2/2023 0:00,Login Issue
INC1234618,Closed,11/19/2022 0:00,12/19/2022 0:00,1/3/2023 0:00,Credential Issue
INC1234619,Closed,11/20/2022 0:00,12/20/2022 0:00,1/4/2023 0:00,
INC1234620,Closed,12/17/2022 0:00,12/18/2022 0:00,1/5/2023 0:00,Login Issue
INC1234621,Closed,12/18/2022 0:00,12/19/2022 0:00,1/6/2023 0:00,Product Issue
