number,state,opened_at,closed_at
SCTASK1234577,Closed Complete,1/1/2022,2/1/2022
SCTASK1234578,Closed Complete,1/2/2022,2/2/2022
SCTASK1234580,Closed Complete,1/4/2022,2/4/2022
SCTASK1234581,Closed Complete,1/5/2022,2/5/2022
SCTASK1234582,Closed Complete,2/1/2022,3/1/2022
SCTASK1234583,Closed Complete,2/2/2022,3/2/2022
SCTASK1234584,Closed Complete,2/3/2022,3/3/2022
SCTASK1234585,Closed Complete,3/1/2022,4/3/2022
SCTASK1234588,Closed Complete,3/4/2022,5/2/2022
SCTASK1234589,Closed Complete,4/1/2022,5/3/2022
SCTASK1234590,Closed Complete,4/2/2022,5/4/2022
SCTASK1234592,Closed Complete,5/2/2022,6/3/2022
SCTASK1234593,Closed Complete,5/3/2022,6/4/2022
SCTASK1234594,Closed Complete,5/4/2022,7/4/2022
SCTASK1234597,Closed Complete,6/4/2022,8/6/2022
SCTASK1234598,Closed Complete,7/3/2022,8/7/2022
SCTASK1234599,Closed Complete,7/4/2022,8/8/2022
SCTASK1234600,Closed Complete,8/4/2022,9/7/2022
SCTASK1234601,Closed Complete,8/5/2022,9/8/2022
SCTASK1234604,Closed Complete,9/7/2022,10/11/2022
SCTASK1234606,Closed Complete,9/9/2022,10/13/2022
SCTASK1234607,Closed Complete,10/9/2022,11/14/2022
SCTASK1234608,Closed Complete,10/10/2022,11/15/2022
SCTASK1234609,Closed Complete,10/11/2022,11/16/2022
SCTASK1234610,Closed Complete,10/12/2022,11/17/2022
SCTASK1234611,Closed Complete,11/12/2022,11/13/2022
SCTASK1234612,Closed Complete,11/13/2022,11/14/2022
SCTASK1234613,On Hold,12/1/2022,01/01/2200
SCTASK1234614,On Hold,12/2/2022,01/01/2200
SCTASK1234615,On Hold,12/3/2022,01/01/2200
SCTASK1234627,Closed Complete,1/1/2021,2/4/2021
SCTASK1234628,Closed Complete,1/2/2021,2/5/2021
SCTASK1234629,Closed Complete,1/3/2021,2/6/2021
SCTASK1234630,Closed Complete,2/3/2021,3/4/2021
SCTASK1234631,Closed Complete,2/4/2021,4/5/2021
SCTASK1234632,Closed Complete,3/4/2021,4/6/2021
SCTASK1234633,Closed Complete,3/5/2021,5/8/2021
SCTASK1234634,Closed Complete,4/5/2021,5/9/2021
SCTASK1234635,Closed Complete,4/6/2021,5/10/2021
SCTASK1234637,Closed Complete,5/7/2021,7/10/2021
SCTASK1234638,Closed Complete,5/8/2021,7/11/2021
SCTASK1234639,Closed Complete,6/8/2021,7/12/2021
SCTASK1234640,Closed Complete,6/9/2021,7/13/2021
SCTASK1234641,Closed Complete,7/9/2021,8/12/2021
SCTASK1234642,Closed Complete,7/10/2021,8/13/2021
SCTASK1234643,Closed Complete,7/11/2021,8/14/2021
SCTASK1234644,Closed Complete,7/12/2021,8/15/2021
SCTASK1234645,Closed Complete,8/11/2021,9/15/2021
SCTASK1234646,Closed Complete,8/12/2021,9/16/2021
SCTASK1234649,Closed Complete,8/15/2021,10/22/2021
SCTASK1234650,Closed Complete,9/15/2021,10/23/2021
SCTASK1234651,Closed Complete,9/16/2021,10/24/2021
SCTASK1234652,Closed Complete,10/16/2021,11/20/2021
SCTASK1234653,Closed Complete,10/17/2021,11/21/2021
SCTASK1234654,Closed Complete,10/18/2021,11/22/2021
SCTASK1234655,Closed Complete,10/19/2021,11/23/2021
SCTASK1234657,Closed Complete,10/21/2021,12/23/2021
SCTASK1234658,Closed Complete,10/22/2021,12/24/2021
SCTASK1234659,Closed Complete,10/23/2021,12/25/2021
SCTASK1234660,Closed Complete,11/20/2021,12/26/2021
SCTASK1234662,Closed Complete,11/22/2021,12/28/2021
SCTASK1234663,Closed Complete,11/23/2021,1/1/2022
SCTASK1234665,Closed Complete,12/24/2021,2/2/2022
SCTASK1234666,Closed Complete,12/25/2021,2/3/2022
